type,cat,title,author,pub_date,tags,volume
아티클,조직,“실력만 있으면 돼!” 사내 정치를 싫어하는 팀장이 팀을 망친다,원유중,2026-07-09,사내정치#관계투자#영향력#사회적기민성#관계역량#####,6 min read
영상,조직,"핵심인재 붙잡는 전략, '연봉 인상'이면 되는 걸까?",김나이,2026-07-09,#동기부여#성과관리# 세대이해#인재전략#피드백스킬,
아티클,생각,"강력한 비전과 냉혹한 실천, 호치민 리더십",유승철,2026-07-08,리더십#호치민#겸손한리더십#비전실천#사람중심리더십#####,11 min read
영상,경영,팀장의 핵심 역량 키우기: 실무적인 접근법,서현직,2026-07-08,#MECE사고#팀장역량#목표중심사고#기획력강화#실행력향상,
아티클,조직,[이직상담소] 사람들이 조직문화 담당자에게 털어놓는 이직고민,강유경,2026-07-07,역할설계#강점활용#직무적합성#동기부여#잡크래프팅#####,8 min read
영상,생각,데이터 분석의 문제를 정의하기,조호연,2026-07-07,#데이터분석#문제해결#커뮤니케이션# 문제정의#분석역량,
아티클,관계,내 머릿속 메시지는 구성원의 머릿속에 무사히 도착했을까?,방승천,2026-07-06,리더의존재감#커뮤니케이션#메타인지#메시지전달#리더의대화법#####,9 min read
영상,생각,[AI몬데이] 팀 리스크 제로화,프롬프트 크리에이터,2026-07-06,#의사결정# 리스크관리#AI활용#AI계약검토#법무협업,
아티클,인문,완벽주의자 영조는 왜 '선 넘는' 박문수에게 관대했을까?,윤형돈,2026-07-03,영조#박문수#탕평책#직언#불편한인재#조직의균형####,10 min read
영상,조직,원온원 실전 활용법,권병희,2026-07-03,#관계형성# 원온원# 관계구축#팀원소통#대화설계,
아티클,경영,‘친절한 정답’이 팀원의 ‘성장판’을 닫는다,인피플컨설팅 홍순표,2026-07-02,퍼실리테이티브리더십#AI협업#리더역할#질문법######,6 min read
영상,생각,반복의 힘을 증명하다 : 스누피의 아버지 찰스 슐츠,미라클레터,2026-07-02,#업무몰입#실행력강화#루틴관리#기록습관#지속실행력,
아티클,성과,"팀원이 못하는 게 아니라, 팀장의 프롬프트가 엉망인 겁니다",장영학,2026-07-01,프롬프트엔지니어링#퓨샷프롬프팅#업무지시#피드백#지시의기술#####,7 min read
영상,관계,인정이 참여를 이끈다,이민영,2026-07-01,#동기부여#조직문화#피드백# 팀빌딩#말하기스킬,
아티클,경영,"A와 B 모두 옳을 때, 리더는 어떻게 말해야 하나?",김지은,2026-06-30,기준언어#우선순위설계#의사결정기준#전략적명확성#리더의문장#####,9 min read
